accession,cluster,split
Q4KMX7,P0CH98,train
Q4KMZ1,Q4KMZ1,val
Q4KMZ8,Q5VXU1,test
Q4KWH8,Q4KWH8,train
Q4L180,Q7Z7B0,test
Q4L235,Q4L235,train
Q4LDE5,Q4LDE5,train
Q4LDG9,Q6ZRR7,val
Q4LDR2,P60606,train
Q4LE39,Q4LE39,train
Q4LEZ3,Q4LEZ3,train
Q4QY38,Q4QY38,train
Q4U2R6,Q4U2R6,val
Q4U2R8,Q4U2R8,test
Q4UJ75,Q9UPS8,train
Q4V321,O75459,test
Q4V326,O75459,test
Q4V328,Q4V328,train
Q4V339,Q4V339,train
Q4V348,O43345,val
Q4V9L6,Q4V9L6,train
Q4VC05,Q8WUZ0,train
Q4VC12,Q4VC12,train
Q4VC31,Q4VC31,train
Q4VC39,Q4VC39,val
Q4VC44,Q4VC44,train
Q4VCS5,Q4VCS5,train
Q4VNC0,Q9H7F0,train
Q4VNC1,Q9H7F0,train
Q4VX76,Q9HCH5,test
Q4VXA5,Q4VXA5,train
Q4VXU2,Q13310,test
Q4W4Y0,Q4W4Y0,val
Q4W5G0,O75564,train
Q4W5P6,Q4W5P6,test
Q4ZG55,Q4ZG55,train
Q4ZHG4,Q4ZHG4,train
Q4ZIN3,Q4ZIN3,train
Q4ZJI4,Q86UD5,train
Q502W6,Q502W6,val
Q502W7,Q494V2,train
Q502X0,B2RC85,test
Q504Q3,Q504Q3,train
Q504T8,Q504T8,test
Q504U0,Q504U0,train
Q504Y0,Q9ULF5,train
Q504Y2,Q504Y2,train
Q504Y3,Q504Y3,train
Q50LG9,Q6UXK2,train
Q52LA3,Q52LA3,test
Q52LC2,Q15904,train
Q52LD8,Q14699,train
Q52LG2,A8MUX0,train
Q52LJ0,Q8NCA5,train
Q52LR7,Q9H2F5,train
Q52LW3,Q52LW3,train
Q52M58,Q52M58,train
Q52M75,Q52M75,train
Q52M93,O43345,val
Q52MB2,Q52MB2,test
Q52WX2,Q15746,train
Q537H7,Q537H7,test
Q538Z0,Q538Z0,train
Q53EL6,Q53EL6,test
Q53EL9,Q9BYH1,train
Q53EP0,Q53EP0,train
Q53EQ6,Q53EQ6,train
Q53ET0,Q53ET0,train
Q53EU6,Q86UL3,train
Q53EV4,Q8IUZ0,train
Q53EZ4,Q53EZ4,test
Q53F19,Q53F19,val
Q53F39,Q53F39,train
Q53FA7,Q53FA7,train
Q53FD0,Q53FD0,train
Q53FE4,Q53FE4,train
Q53FP2,Q53FP2,train
Q53FT3,Q53FT3,train
Q53FV1,Q53FV1,train
Q53FZ2,Q53FZ2,train
Q53G44,Q53G44,train
Q53G59,Q96PQ7,train
Q53GA4,Q8WV24,val
Q53GD3,Q8NCS7,test
Q53GG5,O75112,val
Q53GI3,O43345,val
Q53GL0,Q53GL0,val
Q53GL7,Q53GL7,train
Q53GQ0,Q3SXM5,train
Q53GS7,Q53GS7,test
Q53GS9,Q53GS9,val
Q53GT1,Q8N239,test
Q53H12,Q53H12,train
Q53H47,Q53H47,train
Q53H54,Q53H54,train
Q53H64,Q6AI12,val
Q53H76,Q9Y5X9,val
Q53H80,Q53H80,train
Q53H82,Q53H82,train
Q53H96,Q96C36,train
Q53HC0,Q53HC0,val
Q53HC5,Q9H511,train
Q53HC9,Q53HC9,test
Q53HI1,Q53HI1,train
Q53HL2,Q53HL2,train
Q53HV7,Q53HV7,train
Q53LP3,A6NEL2,train
Q53QV2,Q53QV2,train
Q53QW1,Q53QW1,test
Q53QZ3,Q6ZUM4,train
Q53R12,Q53R12,train
Q53R41,Q53R41,train
Q53RD9,P35556,test
Q53RE8,Q7Z6G8,train
Q53RT3,Q53RT3,train
Q53RY4,Q53RY4,test
Q53S08,Q7Z6P3,train
Q53S33,Q53S33,train
Q53S58,Q53S58,test
Q53S99,Q53S99,train
Q53SF7,Q53SF7,train
Q53SZ7,Q53SZ7,train
Q53T59,Q53T59,train
Q53T94,Q53T94,train
Q53TN4,Q53TN4,train
Q53TQ3,Q53TQ3,test
Q53TS8,Q53TS8,train
Q562E7,Q562E7,train
Q562F6,Q562F6,train
Q562R1,A5A3E0,train
Q567U6,Q567U6,test
Q567V2,Q567V2,val
Q569G3,Q569G3,train
Q569H4,Q569H4,test
Q569K4,Q569K4,train
Q569K6,Q569K6,train
Q56A73,Q9Y657,train
Q56NI9,Q5FWF5,train
Q56P03,Q56P03,train
Q56P42,Q9C000,train
Q56UN5,Q56UN5,test
Q56UQ5,P13693,train
Q56VL3,Q9NX40,train
Q587I9,Q587I9,test
Q587J7,Q587J7,train
Q587J8,Q587J8,test
Q58A45,Q58A45,train
Q58DX5,Q58DX5,test
Q58EX2,Q7Z5N4,test
Q58EX7,Q96PX9,train
Q58F21,O60885,train
Q58FF3,P14625,train
Q58FF6,P14625,train
Q58FF7,P14625,train
Q58FF8,P14625,train
Q58FG0,P14625,train
Q58FG1,P14625,train
Q58G82,Q17RD7,test
Q58HT5,Q96PD7,test
Q58WW2,Q58WW2,train
Q59EK9,Q96NL0,train
Q59H18,Q59H18,test
Q5BIV9,Q5BIV9,train
Q5BJD5,Q5BJD5,test
Q5BJE1,Q5BJE1,train
Q5BJF2,Q5BJF2,train
Q5BJF6,Q5BJF6,train
Q5BJH2,Q5BJH2,train
Q5BJH7,Q5BJH7,train
Q5BKT4,Q5BKT4,train
Q5BKU9,Q5BKU9,train
Q5BKX5,Q5BKX5,train
Q5BKX6,Q5BKX6,train
Q5BKX8,Q5BKX8,train
Q5BKY1,O60346,val
Q5BKY6,Q5BKY6,train
Q5BKY9,Q8N9E0,train
Q5BKZ1,O43823,train
Q5BLP8,Q5BLP8,train
Q5BN46,Q5BN46,val
Q5BVD1,Q5BVD1,train
Q5C9Z4,Q5C9Z4,test
Q5CZ79,Q9UPS8,train
Q5CZA5,O43345,val
Q5CZC0,Q5CZC0,test
Q5D0E6,Q5D0E6,train
Q5D1E8,Q9C0D7,val
Q5D862,Q5D862,test
Q5DID0,Q5DID0,test
Q5DJT8,Q9NXZ1,val
Q5DT21,Q9NQ38,test
Q5DX21,Q5DX21,train
Q5EB52,Q5EB52,train
Q5EBL2,O43345,val
Q5EBL4,Q5EBL4,train
Q5EBL8,Q07157,val
Q5EBM0,Q5EBM0,val
Q5EBM4,Q5EBM4,val
Q5EBN2,Q12899,test
Q5EE01,Q5EE01,train
Q5EG05,P51878,val
Q5F1R6,Q5F1R6,test
Q5FBB7,Q5FBB7,val
Q5FVE4,Q96GR2,train
Q5FWE3,Q5FWE3,val
Q5FWF4,Q5FWF4,train
Q5FWF5,Q5FWF5,train
Q5FWF6,O43345,val
Q5FWF7,Q5FWF7,val
Q5FYA8,P51689,train
Q5FYB0,Q5FYB0,train
Q5FYB1,Q5FYB0,train
Q5GAN3,Q5GAN3,train
Q5GAN4,Q5GAN4,val
Q5GAN6,Q5GAN6,train
Q5GFL6,Q5GFL6,train
Q5GH70,Q9H6D3,val
Q5GH72,Q5GH76,val
Q5GH73,Q5GH76,val
Q5GH76,Q5GH76,val
Q5GH77,Q5GH77,train
Q5GJ75,Q5GJ75,train
Q5GLZ8,Q5GLZ8,train
Q5H8A3,Q5H8A3,train
Q5H8A4,Q5H8A4,train
Q5H8C1,Q5H8C1,train
Q5H913,Q3SXY8,val
Q5H943,Q5H943,train
Q5H9B9,Q9NSY1,val
Q5H9E4,Q5H9E4,test
Q5H9F3,Q5H9F3,val
Q5H9I0,Q14188,train
Q5H9J7,Q9BXY8,train
Q5H9J9,Q8N4U5,train
Q5H9K5,Q5H9K5,train
Q5H9L2,Q9H3H9,train
Q5H9L4,Q5H9L4,train
Q5H9M0,Q2TAK8,train
Q5H9R4,Q5H9R4,train
Q5H9R7,O75170,train
Q5H9S7,Q5H9S7,train
Q5H9T9,Q5H9T9,train
Q5H9U9,Q8IY21,train
Q5HY64,Q5HY64,train
Q5HY92,Q5HY92,val
Q5HY98,O43345,val
Q5HYA8,Q5HYA8,train
Q5HYC2,Q5HYC2,test
Q5HYI7,Q13505,train
Q5HYI8,Q5HYI8,train
Q5HYJ1,Q5HYJ1,train
Q5HYJ3,Q5HYJ3,train
Q5HYK3,Q5HYK3,train
Q5HYK7,Q5HYK7,train
Q5HYK9,O43345,val
Q5HYL7,Q5HYL7,val
Q5HYM0,Q9C0D7,val
Q5HYN5,Q9NXZ1,val
Q5HYR2,Q8IXT2,test
Q5HYW2,Q5HYW2,train
Q5HYW3,Q5HYW3,train
Q5I0G3,Q5I0G3,train
Q5I0X4,Q5I0X4,train
Q5I0X7,Q5I0X7,val
Q5I7T1,Q5BKT4,train
Q5IJ48,P82279,train
Q5J5C9,Q8N687,train
Q5J8M3,Q5J8M3,train
Q5J8X5,Q5J8X5,train
Q5JNZ3,O43345,val
Q5JNZ5,P62854,train
Q5JPB2,Q5JPB2,train
Q5JPE7,Q5JPE7,train
Q5JPF3,A6QL64,train
Q5JPH6,Q5JPH6,train
Q5JPI3,Q5JPI3,train
Q5JPI9,Q5JPI9,val
Q5JQC4,A0A0U1RQG5,test
Q5JQC9,Q5JQC9,val
Q5JQF8,Q13310,test
Q5JQS5,O43869,train
Q5JQS6,Q8N6F7,train
Q5JR12,Q9ULR3,val
Q5JR59,Q5JR59,train
Q5JR98,Q5JR98,val
Q5JRA6,Q5JRA6,train
Q5JRC9,Q5HY64,train
Q5JRK9,Q96GU1,train
Q5JRM2,Q5JRM2,train
Q5JRS4,O43869,train
Q5JRV8,Q5JRV8,test
Q5JRX3,Q5JRX3,train
Q5JS13,Q86X27,train
Q5JS37,Q5JS37,test
Q5JS54,Q5JS54,train
Q5JSH3,Q5JSH3,test
Q5JSJ4,Q9UL03,train
Q5JSL3,Q96BY6,train
Q5JSP0,P98174,train
Q5JSQ8,Q4VXA5,train
Q5JSS6,Q5JSS6,val
Q5JST6,Q5JST6,train
Q5JSZ5,Q5JSZ5,test
Q5JT25,Q9BSW2,train
Q5JT82,Q5JT82,train
Q5JTB6,Q5JTB6,train
Q5JTC6,Q5JTC6,test
Q5JTD0,Q5JTD0,train
Q5JTD7,Q5JTD7,train
Q5JTH9,Q5JTH9,val
Q5JTJ3,Q5JTJ3,test
Q5JTN6,Q15542,train
Q5JTV8,Q5JTV8,train
Q5JTW2,Q5JTW2,train
Q5JTY5,Q4V339,train
Q5JTZ5,Q5JTZ5,train
Q5JTZ9,Q5JTZ9,train
Q5JU00,Q5JU00,test
Q5JU67,Q5JU67,train
Q5JU69,Q9H497,train
Q5JU85,Q5JU85,train
Q5JUK2,Q5JUK2,train
Q5JUK3,Q5JUK3,train
Q5JUK9,O75459,test
Q5JUQ0,Q5JUQ0,train
Q5JUR7,Q5JUR7,val
Q5JUW0,B1APH4,train
Q5JUX0,Q9Y657,train
Q5JV73,Q5JV73,test
Q5JVF3,Q5JVF3,test
Q5JVG2,O43345,val
Q5JVG8,O43345,val
Q5JVL4,Q5JST6,train
Q5JVS0,Q5JVS0,train
Q5JVX7,Q5JVX7,train
Q5JW98,Q8IU99,val
Q5JWF2,Q5JWF2,train
Q5JWF8,A5A3E0,train
Q5JWR5,Q5JWR5,val
Q5JX69,Q5JX69,train
Q5JX71,Q5JX69,train
Q5JXA9,Q5JXA9,train
Q5JXB2,Q16763,train
Q5JXC2,Q5JXC2,test
Q5JXM2,Q5JXM2,train
Q5JXX7,Q5JXX7,train
Q5JY77,Q5JY77,train
Q5JYT7,Q96PX9,train
Q5JZY3,P29323,train
Q5K130,Q5K130,train
Q5K131,Q5K131,train
Q5K4E3,Q5K4E3,train
Q5K4L6,Q9Y2P5,train
Q5K651,Q5K651,train
Q5KSL6,Q5KSL6,train
Q5KU26,Q5KU26,train
Q5M775,Q69YQ0,train
Q5M7Z0,Q96EX2,train
Q5M8T2,Q5M8T2,val
Q5M9N0,Q5M9N0,train
Q5M9Q1,Q8N5F7,train
Q5MAI5,Q13164,train
Q5MCW4,O95625,test
Q5MIZ7,Q5MIZ7,train
Q5MJ07,Q5MJ10,train
Q5MJ08,Q5MJ10,train
Q5MJ09,Q5MJ10,train
Q5MJ10,Q5MJ10,train
Q5MJ68,Q5MJ70,train
Q5MJ70,Q5MJ70,train
Q5MNV8,Q5MNV8,train
Q5MNZ6,Q9Y484,test
Q5MNZ9,Q9Y4P8,train
Q5MY95,O75355,val
Q5NDL2,Q5NDL2,val
Q5NE16,Q5NE16,test
Q5NUL3,Q5NUL3,test
Q5PR19,Q9NZP6,train
Q5PRF9,Q9UPU9,train
Q5PSV4,Q5PSV4,train
Q5PT55,P09131,val
Q5QGS0,Q5QGS0,train
Q5QGT7,P59025,train
Q5QGZ9,Q9BXN2,train
Q5QJ38,Q5QJ38,train
Q5QJ74,Q5QJ74,test
Q5QJE6,Q5QJE6,train
Q5QJU3,Q5QJU3,train
Q5QNW6,Q6DN03,train
Q5QP82,Q5QP82,test
Q5R372,Q9Y3P9,train
Q5R3F8,P0C7U0,train
Q5R3I4,Q5R3I4,train
Q5R3K3,Q8IU99,val
Q5RHP9,Q5RHP9,train
Q5RI15,Q5RI15,train
Q5RIA9,Q4V339,train
Q5RKV6,Q5RKV6,val
Q5RL73,Q5RL73,train
Q5S007,Q5S007,train
Q5SGD2,O60346,val
Q5SNT2,Q5SNT2,train
Q5SNV9,Q5SNV9,train
Q5SQ64,Q5SQ64,test
Q5SQ80,Q9UPS8,train
Q5SQH8,Q5SQH8,train
Q5SQI0,Q5SQI0,val
Q5SQN1,Q5SQN1,train
Q5SQQ9,Q15270,train
Q5SQS7,Q9H788,train
Q5SQS8,Q5SQS8,train
Q5SR53,Q5SR53,train
Q5SR56,Q5SR56,train
Q5SRD1,O14925,train
Q5SRE5,Q5SRE5,train
Q5SRE7,Q5SRE7,train
Q5SRH9,Q5VTQ0,val
Q5SRI9,Q5SRI9,val
Q5SRN2,Q5SRN2,test
Q5SSG8,Q9UKN1,train
Q5SSJ5,Q5SSJ5,train
Q5SSQ6,Q5SSQ6,test
Q5ST30,P26640,train
Q5SV17,Q5SV17,train
Q5SV97,Q5SV97,train
Q5SVQ8,Q5SVQ8,test
Q5SVS4,O95258,val
Q5SVZ6,Q5SVZ6,test
Q5SW24,Q5SW24,train
Q5SW79,Q9Y4F5,train
Q5SW96,Q5SW96,train
Q5SWA1,Q5SWA1,test
Q5SWH9,Q5SWH9,train
Q5SWL7,P78395,val
Q5SWL8,P78395,val
Q5SWW7,Q5SWW7,train
Q5SWX8,Q5SWX8,train
Q5SXH7,Q5SXH7,train
Q5SXM1,O43345,val
Q5SXM2,Q5SXM2,train
Q5SXM8,Q5SXM8,train
Q5SY13,Q5SY13,test
Q5SY16,Q5SY16,val
Q5SY68,P31151,test
Q5SY80,Q5SY80,train
Q5SY85,Q5SY85,val
Q5SYB0,Q5SYB0,train
Q5SYC1,Q8IUQ0,train
Q5SYE7,Q5SYE7,train
Q5SZB4,Q5SZB4,train
Q5SZD1,Q5SZD1,val
Q5SZD4,A0A0U1RQE8,val
Q5SZI1,Q5SZI1,val
Q5SZJ8,Q5SZJ8,test
Q5SZK8,Q86XX4,train
Q5SZL2,Q5SZL2,train
Q5SZQ8,O95319,train
Q5T011,Q5T011,test
Q5T013,Q5T013,train
Q5T035,Q9NZB2,train
Q5T036,Q5T036,test
Q5T089,Q5T089,train
Q5T0B9,Q8TF68,train
Q5T0D9,Q6ZUI0,val
Q5T0F9,Q6P1N0,train
Q5T0J3,Q5T0J3,train
Q5T0J7,Q5T0J7,train
Q5T0L3,Q5T0L3,train
Q5T0N1,Q5T0N1,train
Q5T0N5,Q96RU3,train
Q5T0T0,Q5T0T0,val
Q5T0U0,Q5T0U0,val
Q5T0W9,Q5T0W9,val
Q5T0Z8,Q5T0Z8,val
Q5T124,Q5T124,train
Q5T160,Q5T160,test
Q5T197,Q5T197,train
Q5T1A1,Q5T1A1,train
Q5T1B0,Q5T1B0,train
Q5T1C6,Q8N1Q8,train
Q5T1H1,Q5T1H1,train
Q5T1J5,Q5T1J5,train
Q5T1M5,Q5T1M5,val
Q5T1N1,Q5T1N1,val
Q5T1Q4,Q5T1Q4,test
Q5T1R4,P15822,train
Q5T1S8,Q5T1S8,train
Q5T1V6,Q7L014,train
Q5T200,Q5T200,train
Q5T215,Q5T215,train
Q5T230,Q5T230,test
Q5T280,Q5T280,val
Q5T292,Q5T292,test
Q5T2D2,Q5T2D2,train
Q5T2D3,Q5T2D3,train
Q5T2E6,Q5T2E6,test
Q5T2L2,P51857,test
Q5T2N8,Q5T9A4,val
Q5T2Q4,Q5T2Q4,train
Q5T2R2,Q5T2R2,train
Q5T2S8,Q5T2S8,train
Q5T2T1,Q12959,train
Q5T2W1,Q86UT5,train
Q5T3F8,Q5T3F8,train
Q5T3I0,Q5T3I0,train
Q5T3J3,Q5T3J3,train
Q5T3U5,Q09428,train
Q5T3Y7,Q5T3Y7,test
Q5T440,Q5T440,test
Q5T442,Q969M2,train
Q5T447,Q5T447,train
Q5T481,Q5T481,train
Q5T4B2,Q8IYK4,train
Q5T4D3,Q6ZXV5,train
Q5T4F4,Q5T4F4,train
Q5T4F7,Q5T4F7,train
Q5T4H9,Q5T4H9,train
Q5T4I8,P19338,train
Q5T4S7,Q5T4S7,train
Q5T4T1,Q8WVE7,train
Q5T4T6,Q5T4T6,test
Q5T4W7,Q5T4W7,train
Q5T5A4,Q5T5A4,test
Q5T5A8,Q5T751,train
Q5T5B0,Q5T751,train
Q5T5C0,Q9Y2K9,train
Q5T5D7,Q9UL36,train
Q5T5F5,Q5T5F5,train
Q5T5J6,Q5T5J6,test
Q5T5M9,Q8IV13,train
Q5T5N4,Q5T5N4,train
Q5T5P2,Q5T5P2,train
Q5T5S1,Q5T5S1,train
Q5T5U3,Q5T5U3,train
Q5T5X7,Q5T5X7,train
Q5T5Y3,Q5T5Y3,val
Q5T601,Q8IZF2,train
Q5T619,O43345,val
Q5T653,Q5T653,train
Q5T655,Q5T655,train
Q5T681,Q5T681,train
Q5T686,Q5T686,train
Q5T6C5,O15265,train
Q5T6F0,Q5VU92,val
Q5T6F2,Q5T6F2,val
Q5T6J7,Q5T6J7,train
Q5T6L9,Q5T6L9,train
Q5T6M2,Q5T6M2,val
Q5T6S3,Q9Y483,val
Q5T6V5,Q5T6V5,train
Q5T6X4,Q5T6X4,train
Q5T6X5,P41594,train
Q5T700,Q92673,train
Q5T742,Q5T742,train
Q5T749,Q5T749,train
Q5T750,Q5T750,train
Q5T751,Q5T751,train
Q5T752,Q5T751,train
Q5T753,Q5T751,train
Q5T754,Q5T751,train
Q5T764,O14879,train
Q5T7B8,Q5T7B8,train
Q5T7M4,Q4G0M1,train
Q5T7M9,Q5VUD6,train
Q5T7N2,Q5T7N2,train
Q5T7N3,Q5T7N3,val
Q5T7N8,Q5T7N8,train
Q5T7P2,Q5T751,train
Q5T7P3,Q5T751,train
Q5T7P6,Q5T7P6,val
Q5T7P8,Q9BQG1,train
Q5T7R7,Q5T7R7,train
Q5T7V8,Q5T7V8,train
Q5T7W0,Q5T7W0,train
Q5T7W7,Q5T7W7,test
Q5T848,Q6PRD1,train
Q5T870,Q5T870,test
Q5T871,Q5T871,train
Q5T890,Q5T890,train
Q5T8A7,Q5T8A7,val
Q5T8D3,Q5T8D3,val
Q5T8I3,Q5T9C2,val
Q5T8I9,Q5T8I9,train
Q5T8P6,Q9P2N5,train
Q5T8R8,Q5T8R8,train
Q5T953,Q5T953,train
Q5T9A4,Q5T9A4,val
Q5T9C2,Q5T9C2,val
Q5T9C9,Q5T9C9,test
Q5T9G4,Q5T9G4,test
Q5T9L3,Q5T9L3,val
Q5T9S5,Q5T9S5,train
Q5T9Z0,Q5T9Z0,train
Q5TA31,Q9C037,test
Q5TA45,Q9UKF6,train
Q5TA50,A6NH11,val
Q5TA76,Q5T751,train
Q5TA77,Q5T751,train
Q5TA78,Q5T751,train
Q5TA79,Q5T751,train
Q5TA81,Q5T751,train
Q5TA82,Q5T751,train
Q5TA89,A6NFD8,train
Q5TAA0,Q5TAA0,test
Q5TAB7,Q5TAB7,train
Q5TAG4,P0DPF2,train
Q5TAH2,Q4G0N8,train
Q5TAP6,Q9BVJ6,test
Q5TAQ9,P0C7V8,train
Q5TAT6,Q8IZC6,train
Q5TAX3,Q5TAX3,train
Q5TB30,Q5TB30,train
Q5TB80,Q5TB80,train
Q5TBA9,Q5TBA9,train
Q5TBB1,Q5TBB1,val
Q5TBC7,Q5TBC7,train
Q5TBE3,Q5TBE3,train
Q5TBK1,Q86UW6,val
Q5TC12,Q5TC12,train
Q5TC63,Q9UPU7,train
Q5TC79,Q5TC79,train
Q5TC82,Q9HBD1,train
Q5TC84,Q9NZT2,test
Q5TCH4,Q6NT55,train
Q5TCM9,Q5T751,train
Q5TCQ9,Q96QZ7,test
Q5TCS8,Q5TCS8,train
Q5TCX8,P80192,train
Q5TCY1,Q5TCY1,train
Q5TCZ1,Q5TCZ1,train
Q5TD94,Q9H0K4,test
Q5TD97,O14639,train
Q5TDH0,Q5TDH0,val
Q5TDP6,Q5TDP6,train
Q5TEA3,Q5TEA3,train
Q5TEA6,Q9UBV2,train
Q5TEC3,O43345,val
Q5TEC6,P49450,train
Q5TEJ8,Q5TEJ8,train
Q5TEU4,Q5TEU4,train
Q5TEZ5,Q5TEZ5,val
Q5TF21,Q9Y4B5,train
Q5TF39,Q5TF39,train
Q5TF58,Q0D2I5,train
Q5TFE4,Q86UY8,val
Q5TFG8,Q96GY0,train
Q5TG30,Q9P2N2,train
Q5TG53,Q5TG53,train
Q5TGI0,Q5TGI0,train
Q5TGI4,Q5TGI4,train
Q5TGJ6,Q7Z4V5,train
Q5TGL8,Q5TGL8,train
Q5TGP6,Q5TGP6,train
Q5TGS1,A6NFD8,train
Q5TGU0,Q5TGU0,test
Q5TGY1,Q5TGY1,train
Q5TGY3,Q5TGY3,test
Q5TGZ0,Q5TGZ0,train
Q5TH69,Q5TH69,val
Q5TH74,Q5TH74,train
Q5THJ4,Q5THJ4,val
Q5THK1,Q5THK1,val
Q5THR3,Q5THR3,val
Q5TI25,P0DPF2,train
Q5TIA1,Q5TIA1,train
Q5TID7,Q5TID7,train
Q5TIE3,Q8N398,train
Q5TKA1,Q5TKA1,val
Q5TYM5,H0Y354,test
Q5TYW1,O43345,val
Q5TYW2,Q9UPS8,train
Q5TYX0,P78395,val
Q5TZ20,O43869,train
Q5TZA2,Q9BV73,train
Q5TZF3,Q5TZF3,train
Q5TZJ5,Q6ZUB1,test
Q5U3C3,Q5U3C3,train
Q5U4N7,Q5U4N7,train
Q5U4P2,Q5U4P2,val
Q5U5Q3,Q5U5Q3,test
Q5U5R9,Q5GLZ8,train
Q5U5X0,Q5U5X0,test
Q5U5X8,Q8WU58,test
Q5U5Z8,Q8NEM8,train
Q5U623,Q5U623,train
Q5U649,Q5U649,train
Q5U651,Q96JH8,train
Q5UAW9,Q5UAW9,train
Q5UCC4,Q5UCC4,train
Q5UE93,Q5UE93,train
Q5UIP0,Q5UIP0,test
Q5VIR6,Q5VIR6,test
Q5VIY5,O43345,val
Q5VSD8,Q5VSD8,train
Q5VSG8,Q5SRI9,val
Q5VSL9,Q5VSL9,test
Q5VSP4,P31025,train
Q5VSR9,Q5MJ10,train
Q5VST6,Q7L211,test
Q5VST9,Q5VST9,train
Q5VSY0,Q5VSY0,test
Q5VT03,Q86Y26,train
Q5VT06,Q5VT06,train
Q5VT25,Q5VT25,test
Q5VT28,Q5VT28,val
Q5VT33,Q5VT33,test
Q5VT40,Q5JUQ0,train
Q5VT52,Q5VT52,train
Q5VT66,Q5VT66,train
Q5VT79,P08133,test
Q5VT97,Q5VT97,train
Q5VT98,P78395,val
Q5VT99,Q6EMK4,train
Q5VTA0,P78395,val
Q5VTB9,Q5VTB9,train
Q5VTD9,Q99684,train
Q5VTE0,Q9Y450,train
Q5VTE6,Q9UNK9,val
Q5VTH2,Q5VTH2,train
Q5VTH9,Q5VTH9,train
Q5VTJ3,Q5VTJ3,train
Q5VTL7,Q5VTL7,val
Q5VTL8,Q5VTL8,train
Q5VTM2,Q99490,train
Q5VTQ0,Q5VTQ0,val
Q5VTR2,O75150,val
Q5VTT2,Q5VTT2,train
Q5VTT5,P52179,val
Q5VTU8,P56381,train
Q5VTY9,Q5VTY9,train
Q5VU36,Q6ZUB1,test
Q5VU43,Q5VU43,test
Q5VU57,Q9UPW5,train
Q5VU65,Q5VU65,train
Q5VU92,Q5VU92,val
Q5VU97,Q5VU97,train
Q5VUA4,Q5VUA4,train
Q5VUB5,Q5VUB5,train
Q5VUD6,Q5VUD6,train
Q5VUE5,Q5VUE5,train
Q5VUG0,Q5VUG0,train
Q5VUJ5,Q99490,train
Q5VUJ6,Q96II8,train
Q5VUJ9,Q5VUJ9,train
Q5VUM1,Q5VUM1,train
Q5VUR7,Q9UPS8,train
Q5VUY0,Q6PIU2,train
Q5VUY2,Q6PIU2,train
Q5VV16,Q12950,test
Q5VV17,Q5VV17,train
Q5VV41,Q12774,test
Q5VV42,Q5VV42,test
Q5VV43,Q5VV43,val
Q5VV52,O43345,val
Q5VV63,O75882,val
Q5VV67,Q5VV67,val
Q5VVB8,Q5VVB8,train
Q5VVC0,Q5VVC0,train
Q5VVH2,Q96AY3,train
Q5VVH5,Q5VVH5,test
Q5VVJ2,Q5VVJ2,train
Q5VVM6,Q5VVM6,train
Q5VVP1,Q6ZUB1,test
Q5VVQ6,Q5VVQ6,train
Q5VVS0,Q5VVS0,test
Q5VVW2,Q5VVW2,train
Q5VVX9,Q5VVX9,train
Q5VVY1,Q5VVY1,val
Q5VW00,Q5VU92,val
Q5VW22,Q99490,train
Q5VW32,Q5VW32,train
Q5VW36,Q5VW36,train
Q5VW38,Q5VW38,train
Q5VWC8,Q9P035,train
Q5VWG9,Q5VWG9,val
Q5VWI1,O14776,train
Q5VWJ9,Q5VWJ9,train
Q5VWK0,P0DPF2,train
Q5VWK5,Q5VWK5,train
Q5VWM3,P78395,val
Q5VWM4,P78395,val
Q5VWM6,P78395,val
Q5VWN6,Q5VWN6,train
Q5VWP2,Q96IP4,train
Q5VWP3,Q5VWP3,val
Q5VWQ0,Q6PCB5,val
Q5VWQ8,Q96PV0,val
Q5VWT5,Q5VWT5,train
Q5VWW1,A6NHN0,train
Q5VWX1,Q07666,train
Q5VWZ2,Q5VWZ2,val
Q5VX52,Q5VX52,val
Q5VX71,Q5VX71,val
Q5VXD3,Q6SPF0,train
Q5VXH4,P78395,val
Q5VXH5,P78395,val
Q5VXI9,Q5VYY2,train
Q5VXJ0,Q5VYY2,train
Q5VXM1,Q9Y6L7,train
Q5VXT5,P08247,train
Q5VXU1,Q5VXU1,test
Q5VXU3,Q5VXU3,train
Q5VXU9,Q5VXU9,val
Q5VY09,Q5VY09,train
Q5VY43,O75095,train
Q5VY80,Q6H3X3,train
Q5VYJ5,Q5VYJ5,train
Q5VYK3,Q5VYK3,train
Q5VYM1,Q5VYM1,train
Q5VYP0,Q6ZUB1,test
Q5VYS4,Q5VYS4,train
Q5VYS8,Q5TAX3,train
Q5VYV0,Q12948,train
Q5VYV7,Q5VYV7,train
Q5VYX0,Q5VYX0,test
Q5VYY1,Q12955,val
Q5VYY2,Q5VYY2,train
Q5VZ03,Q96CM4,test
Q5VZ18,Q15464,test
Q5VZ19,Q5VZ19,train
Q5VZ46,Q5VZ46,train
Q5VZ52,Q5VZ52,test
Q5VZ66,Q5VZ66,train
Q5VZ72,Q5VZ72,train
Q5VZ89,Q5VZ89,train
Q5VZB9,Q96SC8,train
Q5VZE5,Q5VZE5,test
Q5VZF2,Q9NR56,train
Q5VZI3,Q5VZI3,train
Q5VZK9,Q6F5E8,train
Q5VZL5,Q5VZL5,train
Q5VZM2,Q5VZM2,train
Q5VZP5,Q5VZP5,train
Q5VZQ5,Q5VZQ5,test
Q5VZR2,Q86Y26,train
Q5VZR4,Q5SR56,train
